Ac,Date,Transaction,Transaction_amount,Transaction_Type,Balance
277917580,2020-02-10,Online-Shopping,37757,W,36851
277917580,2020-02-20,Incentive,35662,D,72513
277917580,2020-02-20,Friend,41084,D,113597
277917580,2020-03-05,Bank-transfered,41013,W,72584
277917580,2020-03-06,Salary,28306,D,100890
277917580,2020-03-07,Rent-payment,49724,W,51166
277917580,2020-03-22,Incentive,27161,D,78327
277917580,2020-03-25,Other,19757,W,58570
277917580,2020-03-25,Incentive,20276,D,78846
277917580,2020-03-28,Salary,20103,D,98949
277917580,2020-03-29,Fuel,5593,W,93356
277917580,2020-04-02,Incentive,17223,D,110579
277917580,2020-04-02,Other,15077,D,125656
277917580,2020-04-15,Incentive,25942,D,151598
277917580,2020-04-22,Bank-transfered,23597,W,128001
277917580,2020-04-23,Friend,46186,D,174187
277917580,2020-05-01,Rent-payment,9221,W,164966
277917580,2020-05-05,Credit-bill,18400,W,146566
277917580,2020-05-05,Salary,37872,D,184438
277917580,2020-05-07,Fuel,24595,W,159843
277917580,2020-05-08,Other,22287,W,137556
277917580,2020-05-12,Incentive,39417,D,176973
277917580,2020-05-13,Friend,49139,D,226112
277917580,2020-05-22,Other,48940,W,177172
277917580,2020-05-26,Bank-transfered,49943,W,127229
277917580,2020-05-28,Friend,24137,D,151366
277917580,2020-05-29,Other,14153,W,137213
277917580,2020-06-04,Fuel,37215,W,99998
277917580,2020-06-05,Incentive,46002,D,146000
277917580,2020-06-09,Other,26967,D,172967
277917580,2020-06-10,Incentive,18086,D,191053
277917580,2020-06-13,Fuel,36748,W,154305
277917580,2020-06-16,Bank-transfered,29068,W,125237
277917580,2020-06-24,Incentive,48313,D,173550
277917580,2020-06-24,Fuel,43322,W,130228
277917580,2020-06-25,Credit-bill,20683,W,109545
277917580,2020-06-29,Incentive,29520,D,139065
277917580,2020-07-06,Salary,41439,D,180504
277917580,2020-07-08,Credit-bill,10127,W,170377
277917580,2020-07-17,Friend,34455,D,204832
277917580,2020-07-19,Rent-payment,7010,W,197822
277917580,2020-08-01,Salary,42559,D,240381
277917580,2020-08-06,Other,36935,D,277316
277917580,2020-08-12,Fuel,9066,W,268250
277917580,2020-08-17,Credit-bill,47229,W,221021
277917580,2020-08-26,Other,7953,W,213068
277917580,2020-09-09,Credit-bill,22146,W,190922
277917580,2020-09-15,Rent-payment,13397,W,177525
277917580,2020-09-20,Other,23755,D,201280
277917580,2020-10-02,Incentive,21842,D,223122
277917580,2020-10-07,Friend,20848,D,243970
277917580,2020-10-22,Salary,49346,D,293316
277917580,2020-10-31,Online-Shopping,48091,W,245225
277917580,2020-11-01,Incentive,11747,D,256972
277917580,2020-11-02,Incentive,25884,D,282856
277917580,2020-11-05,Other,20804,D,303660
277917580,2020-11-08,Bank-transfered,46855,W,256805
277917580,2020-11-10,Fuel,10034,W,246771
277917580,2020-11-12,Bank-transfered,25094,W,221677
277917580,2020-11-18,Other,9591,W,212086
277917580,2020-11-30,Friend,22460,D,234546
277917580,2020-12-02,Salary,29041,D,263587
277917580,2020-12-10,Salary,11424,D,275011
277917580,2020-12-17,Incentive,33082,D,308093
277917580,2020-12-18,Friend,17701,D,325794
277917580,2020-12-19,Friend,28671,D,354465
277917580,2020-12-28,Other,27776,D,382241
277917580,2020-12-31,Other,7476,W,374765
277917580,2021-01-03,Friend,35481,D,410246
277917580,2021-01-05,Bank-transfered,22211,W,388035
277917580,2021-01-17,Fuel,7243,W,380792
277917580,2021-01-20,Online-Shopping,1196,W,379596
277917580,2021-01-21,Bank-transfered,31829,W,347767
277917580,2021-01-23,Salary,22791,D,370558
277917580,2021-01-27,Rent-payment,12161,W,358397
277917580,2021-01-28,Bank-transfered,35944,W,322453
277917580,2021-02-10,Fuel,46867,W,275586
277917580,2021-02-14,Online-Shopping,42029,W,233557
277917580,2021-02-15,Bank-transfered,46083,W,187474
277917580,2021-02-19,Incentive,14651,D,202125
277917580,2021-02-20,Incentive,25423,D,227548
277917580,2021-02-23,Rent-payment,32042,W,195506
277917580,2021-03-24,Credit-bill,35116,W,160390
277917580,2021-03-27,Salary,16523,D,176913
277917580,2021-03-28,Friend,17528,D,194441
277917580,2021-04-06,Other,29446,W,164995
277917580,2021-04-13,Other,37898,W,127097
277917580,2021-04-16,Friend,25198,D,152295
277917580,2021-04-22,Friend,49052,D,201347
277917580,2021-04-24,Salary,6956,D,208303
277917580,2021-05-09,Fuel,41826,W,166477
277917580,2021-05-14,Incentive,47592,D,214069
277917580,2021-05-14,Bank-transfered,28244,W,185825
277917580,2021-05-20,Salary,9350,D,195175
277917580,2021-05-25,Online-Shopping,12160,W,183015
277917580,2021-05-27,Online-Shopping,20484,W,162531
277917580,2021-05-28,Friend,7469,D,170000
277917580,2021-05-31,Incentive,43211,D,213211
277917580,2021-06-10,Fuel,12067,W,201144
277917580,2021-06-12,Rent-payment,41917,W,159227
277917580,2021-06-13,Salary,24196,D,183423
277917580,2021-06-28,Other,28336,W,155087
277917580,2021-06-28,Bank-transfered,26826,W,128261
277917580,2021-07-09,Other,41676,W,86585
277917580,2021-07-10,Credit-bill,43189,W,43396
277917580,2021-07-17,Other,2564,D,45960
277917580,2021-07-27,Friend,38893,D,84853
277917580,2021-08-06,Rent-payment,13031,W,71822
277917580,2021-08-07,Rent-payment,32303,W,39519
277917580,2021-08-16,Friend,12438,D,51957
277917580,2021-09-05,Online-Shopping,12149,W,39808
277917580,2021-09-09,Rent-payment,17624,W,22184
277917580,2021-09-14,Salary,38018,D,60202
277917580,2021-10-04,Salary,40037,D,100239
277917580,2021-10-05,Incentive,37247,D,137486
277917580,2021-10-11,Incentive,8523,D,146009
277917580,2021-11-01,Other,49194,D,195203
277917580,2021-11-03,Credit-bill,8000,W,187203
277917580,2021-11-08,Salary,15553,D,202756
277917580,2021-11-18,Salary,36059,D,238815
277917580,2021-11-21,Online-Shopping,5115,W,233700
277917580,2021-11-23,Online-Shopping,45742,W,187958
277917580,2021-12-04,Friend,24720,D,212678
277917580,2021-12-08,Other,34966,D,247644
277917580,2021-12-09,Friend,42102,D,289746
277917580,2021-12-13,Incentive,7180,D,296926
277917580,2021-12-14,Bank-transfered,16407,W,280519
277917580,2021-12-21,Online-Shopping,10314,W,270205
277917580,2021-12-24,Online-Shopping,35336,W,234869
277917580,2021-12-25,Fuel,13567,W,221302
260874582,2017-01-04,Online-Shopping,24375,W,179908
260874582,2017-01-10,Bank-transfered,28273,W,151635
260874582,2017-01-10,Salary,3790,D,155425
260874582,2017-01-15,Rent-payment,6856,W,148569
260874582,2017-01-17,Incentive,1877,D,150446
260874582,2017-01-22,Salary,28637,D,179083
260874582,2017-02-06,Salary,39114,D,218197
260874582,2017-02-14,Online-Shopping,18440,W,199757
260874582,2017-02-24,Other,2419,D,202176
260874582,2017-02-28,Bank-transfered,16378,W,185798
260874582,2017-03-04,Credit-bill,17297,W,168501
260874582,2017-03-07,Fuel,14489,W,154012
260874582,2017-03-27,Credit-bill,5353,W,148659
260874582,2017-04-11,Incentive,39901,D,188560
260874582,2017-04-19,Other,35250,D,223810
260874582,2017-04-21,Friend,18622,D,242432
260874582,2017-04-27,Online-Shopping,24548,W,217884
260874582,2017-05-01,Other,28360,D,246244
260874582,2017-05-02,Incentive,8122,D,254366
260874582,2017-05-05,Bank-transfered,46549,W,207817
260874582,2017-05-06,Credit-bill,10559,W,197258
260874582,2017-05-07,Other,41524,D,238782
260874582,2017-05-10,Incentive,22844,D,261626
260874582,2017-05-12,Fuel,22268,W,239358
260874582,2017-05-15,Incentive,39669,D,279027
260874582,2017-05-28,Other,22520,D,301547
260874582,2017-06-03,Online-Shopping,1093,W,300454
260874582,2017-06-07,Other,16389,W,284065
260874582,2017-06-19,Other,34011,W,250054
260874582,2017-06-20,Incentive,38936,D,288990
260874582,2017-06-24,Friend,16183,D,305173
260874582,2017-07-10,Incentive,6978,D,312151
260874582,2017-07-13,Salary,14479,D,326630
260874582,2017-07-14,Other,44592,D,371222
260874582,2017-07-16,Fuel,40262,W,330960
260874582,2017-07-26,Credit-bill,45529,W,285431
260874582,2017-07-29,Friend,6508,D,291939
260874582,2017-08-01,Salary,25677,D,317616
260874582,2017-08-09,Friend,28924,D,346540
260874582,2017-08-09,Salary,4500,D,351040
260874582,2017-08-21,Rent-payment,3981,W,347059
260874582,2017-08-22,Other,35155,W,311904
260874582,2017-08-26,Other,20158,W,291746
260874582,2017-09-08,Incentive,48641,D,340387
260874582,2017-09-12,Other,45967,D,386354
260874582,2017-09-13,Fuel,29406,W,356948
260874582,2017-10-03,Friend,33306,D,390254
260874582,2017-10-04,Credit-bill,44323,W,345931
260874582,2017-10-12,Salary,13078,D,359009
260874582,2017-10-15,Salary,39656,D,398665
260874582,2017-10-16,Salary,17145,D,415810
260874582,2017-10-17,Friend,26184,D,441994
260874582,2017-10-23,Other,46221,W,395773
260874582,2017-10-29,Online-Shopping,32815,W,362958
260874582,2017-10-30,Rent-payment,30256,W,332702
260874582,2017-12-03,Credit-bill,8159,W,324543
260874582,2017-12-06,Salary,42214,D,366757
260874582,2017-12-16,Other,47349,D,414106
260874582,2017-12-17,Friend,8740,D,422846
260874582,2017-12-22,Incentive,5469,D,428315
260874582,2017-12-30,Salary,27688,D,456003
260874582,2018-01-06,Incentive,39353,D,495356
260874582,2018-01-07,Fuel,30732,W,464624
260874582,2018-01-09,Other,48549,D,513173
260874582,2018-01-15,Friend,36937,D,550110
260874582,2018-01-22,Other,19003,W,531107
260874582,2018-02-16,Bank-transfered,3925,W,527182
260874582,2018-02-18,Salary,23535,D,550717
260874582,2018-02-18,Online-Shopping,42567,W,508150
260874582,2018-02-21,Other,35054,D,543204
260874582,2018-02-23,Incentive,25182,D,568386
260874582,2018-03-02,Fuel,31325,W,537061
260874582,2018-03-04,Credit-bill,20577,W,516484
260874582,2018-03-09,Other,38014,D,554498
260874582,2018-03-17,Incentive,44501,D,598999
260874582,2018-03-18,Bank-transfered,34381,W,564618
260874582,2018-03-19,Friend,44875,D,609493
260874582,2018-03-21,Other,17459,W,592034
260874582,2018-04-03,Bank-transfered,8996,W,583038
260874582,2018-04-08,Rent-payment,25991,W,557047
260874582,2018-04-11,Salary,1103,D,558150
260874582,2018-05-01,Other,24777,W,533373
260874582,2018-05-05,Credit-bill,16277,W,517096
260874582,2018-05-10,Friend,35631,D,552727
260874582,2018-05-14,Other,47792,D,600519
260874582,2018-05-16,Other,3417,D,603936
260874582,2018-05-20,Rent-payment,3340,W,600596
260874582,2018-05-22,Credit-bill,2618,W,597978
260874582,2018-05-28,Online-Shopping,27826,W,570152
260874582,2018-05-28,Friend,14141,D,584293
260874582,2018-06-01,Other,48755,W,535538
260874582,2018-06-09,Other,42819,D,578357
260874582,2018-06-11,Online-Shopping,44616,W,533741
260874582,2018-06-13,Fuel,17109,W,516632
260874582,2018-06-17,Incentive,27719,D,544351
260874582,2018-06-25,Friend,21922,D,566273
260874582,2018-07-12,Salary,14051,D,580324
260874582,2018-07-14,Friend,2025,D,582349
260874582,2018-07-14,Online-Shopping,8776,W,573573
260874582,2018-07-19,Fuel,33388,W,540185
260874582,2018-07-21,Incentive,35108,D,575293
260874582,2018-07-29,Incentive,47695,D,622988
260874582,2018-07-30,Bank-transfered,43095,W,579893
260874582,2018-07-31,Fuel,31300,W,548593
260874582,2018-08-01,Friend,11002,D,559595
260874582,2018-08-08,Bank-transfered,32590,W,527005
260874582,2018-08-17,Other,42223,W,484782
260874582,2018-08-24,Rent-payment,11117,W,473665
260874582,2018-08-30,Other,12872,W,460793
260874582,2018-09-02,Other,37946,W,422847
260874582,2018-09-05,Credit-bill,20244,W,402603
260874582,2018-09-13,Other,46012,W,356591
260874582,2018-09-16,Salary,4196,D,360787
260874582,2018-09-16,Rent-payment,8642,W,352145
260874582,2018-09-24,Friend,7890,D,360035
260874582,2018-10-03,Rent-payment,47933,W,312102
260874582,2018-10-06,Friend,26265,D,338367
260874582,2018-10-07,Rent-payment,1536,W,336831
260874582,2018-10-12,Online-Shopping,5931,W,330900
260874582,2018-10-18,Other,4192,D,335092
260874582,2018-10-22,Salary,8492,D,343584
260874582,2018-10-22,Other,33076,D,376660
260874582,2018-11-04,Other,12406,D,389066
260874582,2018-11-11,Other,34930,W,354136
260874582,2018-11-15,Credit-bill,24284,W,329852
260874582,2018-11-22,Credit-bill,29051,W,300801
260874582,2018-11-22,Friend,24175,D,324976
260874582,2018-12-11,Friend,29051,D,354027
260874582,2019-01-02,Incentive,44869,D,398896
260874582,2019-01-11,Fuel,25898,W,372998
260874582,2019-01-13,Other,42680,W,330318
260874582,2019-01-15,Fuel,15389,W,314929
260874582,2019-01-20,Rent-payment,42184,W,272745
260874582,2019-01-26,Rent-payment,37863,W,234882
260874582,2019-02-08,Rent-payment,13958,W,220924
260874582,2019-02-14,Bank-transfered,43931,W,176993
260874582,2019-02-17,Fuel,30480,W,146513
260874582,2019-02-18,Salary,13610,D,160123
260874582,2019-02-25,Other,16055,W,144068
260874582,2019-03-01,Salary,2504,D,146572
260874582,2019-03-11,Salary,18577,D,165149
260874582,2019-03-22,Rent-payment,10011,W,155138
260874582,2019-04-01,Salary,20272,D,175410
260874582,2019-04-02,Fuel,8856,W,166554
260874582,2019-04-13,Incentive,40671,D,207225
260874582,2019-04-17,Salary,21320,D,228545
260874582,2019-04-21,Incentive,12782,D,241327
260874582,2019-04-30,Incentive,11736,D,253063
260874582,2019-05-06,Salary,46259,D,299322
260874582,2019-05-08,Online-Shopping,1162,W,298160
260874582,2019-05-13,Other,10948,D,309108
260874582,2019-05-14,Online-Shopping,37902,W,271206
260874582,2019-05-20,Online-Shopping,31077,W,240129
260874582,2019-05-24,Other,39758,W,200371
260874582,2019-05-26,Other,19166,W,181205
260874582,2019-06-05,Other,17660,D,198865
260874582,2019-06-15,Friend,14178,D,213043
260874582,2019-07-21,Other,41892,D,254935
260874582,2019-07-21,Friend,35773,D,290708
260874582,2019-08-07,Salary,42894,D,333602
260874582,2019-09-07,Other,34516,D,368118
260874582,2019-09-23,Incentive,46697,D,414815
260874582,2019-09-28,Bank-transfered,34099,W,380716
260874582,2019-09-29,Credit-bill,15835,W,364881
260874582,2019-10-07,Credit-bill,14640,W,350241
260874582,2019-10-08,Salary,38496,D,388737
260874582,2019-10-10,Friend,40183,D,428920
260874582,2019-10-15,Friend,24577,D,453497
260874582,2019-10-16,Salary,14036,D,467533
260874582,2019-10-24,Fuel,42002,W,425531
260874582,2019-10-26,Friend,31924,D,457455
260874582,2019-11-09,Rent-payment,31088,W,426367
260874582,2019-11-13,Friend,33161,D,459528
260874582,2019-11-18,Rent-payment,26893,W,432635
260874582,2019-11-18,Online-Shopping,31691,W,400944
260874582,2019-11-23,Other,1774,D,402718
260874582,2019-11-26,Friend,42955,D,445673
260874582,2019-12-01,Other,3690,D,449363
260874582,2019-12-05,Friend,5672,D,455035
260874582,2019-12-06,Other,46075,D,501110
260874582,2019-12-06,Online-Shopping,24651,W,476459
260874582,2019-12-08,Salary,37643,D,514102
260874582,2019-12-13,Incentive,9326,D,523428
260874582,2019-12-22,Online-Shopping,29380,W,494048
260874582,2019-12-27,Rent-payment,7118,W,486930
260874582,2019-12-31,Other,9636,W,477294
260874582,2020-01-10,Salary,49499,D,526793
260874582,2020-01-23,Online-Shopping,14843,W,511950
260874582,2020-01-26,Salary,14039,D,525989
260874582,2020-01-27,Friend,41588,D,567577
260874582,2020-02-05,Fuel,3056,W,564521
260874582,2020-02-07,Rent-payment,12446,W,552075
260874582,2020-02-10,Credit-bill,7404,W,544671
260874582,2020-02-12,Fuel,3037,W,541634
260874582,2020-02-14,Friend,39552,D,581186
260874582,2020-02-16,Other,26340,D,607526
260874582,2020-02-18,Other,19336,W,588190
260874582,2020-02-25,Friend,9837,D,598027
260874582,2020-03-06,Other,40298,W,557729
260874582,2020-03-14,Fuel,16514,W,541215
260874582,2020-03-20,Online-Shopping,9035,W,532180
260874582,2020-03-30,Online-Shopping,43810,W,488370
260874582,2020-04-03,Bank-transfered,12989,W,475381
260874582,2020-04-09,Fuel,32700,W,442681
260874582,2020-04-09,Incentive,46864,D,489545
260874582,2020-04-14,Salary,34205,D,523750
260874582,2020-04-24,Friend,47044,D,570794
260874582,2020-05-04,Friend,11961,D,582755
260874582,2020-05-06,Bank-transfered,5091,W,577664
260874582,2020-05-24,Friend,32100,D,609764
260874582,2020-05-27,Other,40404,D,650168
260874582,2020-05-30,Online-Shopping,7563,W,642605
260874582,2020-06-03,Credit-bill,12055,W,630550
260874582,2020-06-13,Other,34497,D,665047
260874582,2020-06-20,Other,48139,W,616908
260874582,2020-06-23,Incentive,48996,D,665904
260874582,2020-07-11,Other,43785,D,709689
260874582,2020-07-11,Credit-bill,15278,W,694411
260874582,2020-07-17,Other,6943,W,687468
260874582,2020-07-20,Fuel,6530,W,680938
260874582,2020-07-23,Salary,46160,D,727098
260874582,2020-07-30,Online-Shopping,11603,W,715495
260874582,2020-08-04,Salary,35527,D,751022
260874582,2020-08-13,Incentive,22233,D,773255
260874582,2020-08-17,Bank-transfered,49876,W,723379
260874582,2020-08-24,Incentive,4743,D,728122
260874582,2020-08-28,Incentive,19132,D,747254
260874582,2020-09-11,Other,23512,W,723742
260874582,2020-10-01,Fuel,24935,W,698807
260874582,2020-10-05,Bank-transfered,48359,W,650448
260874582,2020-10-05,Incentive,19695,D,670143
260874582,2020-10-08,Friend,10105,D,680248
260874582,2020-10-15,Salary,31152,D,711400
260874582,2020-10-16,Salary,29199,D,740599
260874582,2020-10-17,Rent-payment,32520,W,708079
260874582,2020-10-20,Friend,16201,D,724280
260874582,2020-10-26,Credit-bill,17677,W,706603
260874582,2020-10-29,Other,35391,D,741994
260874582,2020-11-03,Salary,17372,D,759366
260874582,2020-11-06,Bank-transfered,42220,W,717146
